PassengerId,Survived,Sex,Age,Fare,Pclass_1,Pclass_2,Pclass_3,Family_size
1,0,1,0.275,0.014151058,0,0,1,0.1
2,1,0,0.475,0.139135735,1,0,0,0.1
3,1,0,0.325,0.01546857,0,0,1,0
4,1,0,0.4375,0.103644297,1,0,0,0.1
5,0,1,0.4375,0.015712554,0,0,1,0
6,0,1,0.35,0.016509502,0,0,1,0
7,0,1,0.675,0.101228858,1,0,0,0
8,0,1,0.025,0.04113566,0,0,1,0.4
9,1,0,0.3375,0.021730754,0,0,1,0.2
10,1,0,0.175,0.058694293,0,1,0,0.1
11,1,0,0.05,0.032596229,0,0,1,0.2
12,1,0,0.725,0.051822149,1,0,0,0
13,0,1,0.25,0.015712554,0,0,1,0
14,0,1,0.4875,0.061044735,0,0,1,0.6
15,0,0,0.175,0.015330377,0,0,1,0
16,1,0,0.6875,0.03122992,0,1,0,0
17,0,1,0.025,0.056848214,0,0,1,0.5
18,1,1,0.35,0.02537431,0,1,0,0
19,0,0,0.3875,0.03513366,0,0,1,0.1
20,1,0,0.35,0.014102261,0,0,1,0
21,0,1,0.4375,0.05074862,0,1,0,0
22,1,1,0.425,0.02537431,0,1,0,0
23,1,0,0.1875,0.015671955,0,0,1,0
24,1,1,0.35,0.069291385,1,0,0,0
25,0,0,0.1,0.04113566,0,0,1,0.4
26,1,0,0.475,0.06126432,0,0,1,0.6
27,0,1,0.35,0.014102261,0,0,1,0
28,0,1,0.2375,0.513341812,1,0,0,0.5
29,1,0,0.35,0.015379174,0,0,1,0
30,0,1,0.35,0.015411575,0,0,1,0
31,0,1,0.5,0.054107398,1,0,0,0
32,1,0,0.35,0.285989555,1,0,0,0.1
33,1,0,0.35,0.015126993,0,0,1,0
34,0,1,0.825,0.020494635,0,1,0,0
35,0,1,0.35,0.16038672,1,0,0,0.1
36,0,1,0.525,0.10149724,1,0,0,0.1
37,1,1,0.35,0.014110459,0,0,1,0
38,0,1,0.2625,0.015712554,0,0,1,0
39,0,0,0.225,0.03513366,0,0,1,0.2
40,1,0,0.175,0.021942337,0,0,1,0.1
